"Poziom";"GrupaA";"GrupaB"
81;"A1";"B1"
78;"A1";"B1"
75;"A1";"B1"
84;"A1";"B1"
82;"A1";"B2"
86;"A1";"B2"
75;"A1";"B2"
71;"A1";"B2"
74;"A1";"B3"
68;"A1";"B3"
78;"A1";"B3"
82;"A1";"B3"
83;"A2";"B1"
68;"A2";"B1"
79;"A2";"B1"
81;"A2";"B1"
86;"A2";"B2"
70;"A2";"B2"
72;"A2";"B2"
78;"A2";"B2"
62;"A2";"B3"
70;"A2";"B3"
70;"A2";"B3"
76;"A2";"B3"
68;"A3";"B1"
66;"A3";"B1"
72;"A3";"B1"
76;"A3";"B1"
74;"A3";"B2"
68;"A3";"B2"
78;"A3";"B2"
82;"A3";"B2"
68;"A3";"B3"
66;"A3";"B3"
58;"A3";"B3"
71;"A3";"B3"
72;"A4";"B1"
60;"A4";"B1"
65;"A4";"B1"
68;"A4";"B1"
70;"A4";"B2"
64;"A4";"B2"
66;"A4";"B2"
80;"A4";"B2"
63;"A4";"B3"
74;"A4";"B3"
76;"A4";"B3"
70;"A4";"B3"
